"corp_code","induty_code"
"00126089","303"
"00126186","62021"
"00126201","30399"
"00126256","65110"
"00126292","64913"
"00126308","72129"
"00126362","28202"
"00126371","2622"
"00126380","264"
"00126414","212"
"00126478","3111"
"00126487","64992"
"00126566","31321"
"00126593","2049"
"00126779","24222"
"00126788","212"
"00126885","27"
"00126937","64992"
"00126955","108"
"00127024","29299"
"00127042","15110"
"00127158","26529"
"00127167","46739"
"00127200","26291"
"00127255","2221"
"00127370","25112"
"00127699","292"
"00127802","29141"
"00127857","33201"
"00127909","49309"
"00127936","411"
"00127954","4632"
"00128032","212"
"00128111","24199"
"00128175","46739"
"00128227","171"
"00128315","2642"
"00128412","212"
"00128546","212"
"00128555","35200"
"00128607","46465"
"00128661","4659"
"00128731","29230"
"00128759","14111"
"00128926","2419"
"00128953","26"
"00128971","411"
"00128980","421"
"00129013","108"
"00129235","25991"
"00129271","26291"
"00129280","265"
"00129350","26291"
"00129387","20411"
"00129411","41221"
"00129420","41121"
"00129509","49301"
"00129554","911"
"00129615","222"
"00129642","303"
"00129679","212"
"00129989","204"
"00130000","1419"
"00130037","2622"
"00130046","26"
"00130091","64992"
"00130204","2219"
"00130383","551"
"00130408","23322"
"00130587","281"
"00130684","35200"
"00130763","2612"
"00130772","60210"
"00130815","64131"
"00130860","263"
"00130879","108"
"00130949","182"
"00131018","212"
"00131054","66121"
"00131197","243"
"00131328","68112"
"00131434","20202"
"00131504","41112"
"00131692","2049"
"00131780","467"
"00131832","64992"
"00131850","66121"
"00131896","52942"
"00131939","28123"
"00132105","108"
"00132114","1090"
"00132202","20499"
"00132211","16211"
"00132318","24133"
"00132354","649"
"00132488","4741"
"00132628","26291"
"00132637","222"
"00132725","2032"
"00132804","23311"
"00132868","13213"
"00132992","303"
"00133034","41221"
"00133089","2413"
"00133238","41221"
"00133317","47813"
"00133335","71531"
"00133511","46800"
"00133557","464"
"00133618","477"
"00133663","303"
"00133706","171"
"00133715","24222"
"00133751","2599"
"00133812","49301"
"00133858","28202"
"00133876","422"
"00133928","25931"
"00133991","24122"
"00134051","26"
"00134060","50112"
"00134176","467"
"00134316","303"
"00134477","303"
"00134510","303"
"00134565","68121"
"00134723","171"
"00134909","467"
"00134963","20499"
"00135050","212"
"00135111","29241"
"00135467","259"
"00135670","28410"
"00135777","172"
"00135795","263"
"00135917","65121"
"00135962","03111"
"00135999","681"
"00136004","463"
"00136086","171"
"00136095","64132"
"00136101","64911"
"00136165","29229"
"00136217","2622"
"00136226","28519"
"00136235","46800"
"00136271","2612"
"00136341","467"
"00136378","47111"
"00136402","46201"
"00136448","212"
"00136457","201"
"00136554","59111"
"00136624","14120"
"00136642","64209"
"00136721","66121"
"00136776","204"
"00136864","14112"
"00136925","41112"
"00136970","4111"
"00137012","29111"
"00137058","212"
"00137207","15110"
"00137234","303"
"00137252","105"
"00137289","272"
"00137359","212"
"00137368","467"
"00137702","171"
"00137809","24199"
"00137915","29169"
"00137997","66121"
"00138057","262"
"00138127","28302"
"00138190","468"
"00138206","41221"
"00138224","23311"
"00138242","301"
"00138260","24113"
"00138279","19210"
"00138297","46800"
"00138303","62021"
"00138321","66121"
"00138367","582"
"00138376","26293"
"00138446","46414"
"00138491","2612"
"00138516","265"
"00138598","26294"
"00138695","2413"
"00138701","715"
"00138729","172"
"00138747","29210"
"00138792","511"
"00139083","303"
"00139153","30320"
"00139205","212"
"00139214","65121"
"00139454","20422"
"00139685","1811"
"00139719","25934"
"00139764","32021"
"00139834","62021"
"00139889","204"
"00140052","32029"
"00140061","22211"
"00140131","631"
"00140168","71310"
"00140177","47122"
"00140353","25119"
"00140362","28302"
"00140380","24122"
"00140566","105"
"00140779","2225"
"00140858","259"
"00140919","26211"
"00140946","5299"
"00140955","20129"
"00140964","64992"
"00141149","212"
"00141246","4112"
"00141273","461"
"00141282","33201"
"00141307","24213"
"00141334","06200"
"00141389","29120"
"00141404","172"
"00141413","303"
